NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	ALL	98	ALL	2
2	ARM	1673	ARM	2
3	ARROW	977	ARROW	2
4	ASH	646	ASH	2
5	AXE	677	AXE	2
6	BACK	1291	BACK	2
7	BAD/EVIL	3764	BAD OR EVIL	2
8	BAMBOO	1927	BAMBOO	2
9	BANANA	868	BANANA	2
10	BASKET	1539	BASKET	2
11	BAT	1793	BAT	2
12	BE_WRONG			
13	BEANS	832	BEAN	2
14	BEARD	678	BEARD	2
15	BELLY	1251	BELLY	2
#<<<				
16	BREAK	680	BREAK (DESTROY OR GET DESTROYED)	2
16	BREAK	2558	BREAK (CLEAVE)	2
#>>>				
17	BIG	1202	BIG	2
18	BIRD	937	BIRD	2
19	BITE	1403	BITE	2
20	BLACK	163	BLACK	2
#<<<				
21	BLOW	176	BLOW (WITH MOUTH)	2
21	BLOW	175	BLOW (OF WIND)	2
#>>>				
22	BONE	1394	BONE	2
23	BOY	1366	BOY	2
#<<<				
24	BRANCH	1531	BRANCH	2
24	BRANCH	3223	BRANCH OR TWIG	2
#>>>				
#<<<				
25	BREAST	1402	BREAST	2
25	BREAST	1592	CHEST	2
#>>>				
26	BREATHE	1407	BREATHE	2
27	BURN_intr		2102  BURN	
28	BURN_tr		141 BURN (SOMETHING)	
29	BURY	1719	BURY	2
30	BUSH	1683	BUSH	2
31	BUTTERFLY	1791	BUTTERFLY	2
32	CAIR		???	
33	CANOE	1970	CANOE	2
34	CASHEW	2441	CASHEW	2
35	CLOUD	1489	CLOUD	2
36	COATI	2389	COATI (COATIMUNDI)	2
#<<<				
37	COLD	1287	COLD	2
37	COLD	102	COMMON COLD (DISEASE)	2
37	COLD	2483	COLD (OF WEATHER)	2
#>>>				
38	COME	1446	COME	2
#<<<				
39	COMB	2070	COMB (VERB)	2
39	COMB	188	COMB OF BIRD	2
39	COMB	1475	COMB	2
#>>>				
#<<<				
40	CORN	605	GRAIN	2
40	CORN	506	MAIZE	2
#>>>				
41	COTTON	1850	COTTON	2
42	CRICKET (zool)	2354	CRICKET	4
43	CRY	1839	CRY	2
#<<<				
44	CUT	1432	CUT	2
44	CUT	2156	CUT (WITH KNIFE)	2
#>>>				
#<<<				
45	DANCE	1879	DANCE	2
45	DANCE	3472	DANCE (MOVEMENT)	2
#>>>				
#<<<				
46	DAY	1260	DAY (24 HOURS)	2
46	DAY	1225	DAY (NOT NIGHT)	2
#>>>				
47	DEFECATE	676	SHIT (DEFECATE)	2
48	DIE	1494	DIE	2
49	DIRTY	1230	DIRTY	2
50	DO/MAKE	2575	DO OR MAKE	2
#<<<				
51	DRAW/PAINT	1911	DRAW (WATER)	4
